Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
GS,NaiveZero,0.011969806113596245,100.0,0.016931795911553332,-0.007065297441100737,0.5503105590062112,0.0,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,ResidualHybrid,0.011999288232037162,119.45864818176122,0.017015080269685453,-0.016996797284499765,0.5018633540372671,-0.019395669955633115,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,ConfidenceWeight,0.012000747166270101,115.52399291531297,0.016887389470423092,-0.001789833098313709,0.493167701863354,-0.015730312265867307,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
GS,RegimeSwitching,0.012118705041824893,138.00261861095936,0.017181854484561245,-0.037030797094656176,0.4906832298136646,0.011063887442862134,0,0,log_return,0.12451379499687071,-0.08244571155284706,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ARIMA,0.010009274104084196,114.69362602554074,0.01462159571398608,-0.0035588169521705293,0.5639751552795031,0.04547480528096383,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,RandomForest,0.010424175551834594,176.64491586132831,0.01488006338396393,-0.03935246437619666,0.4993788819875776,0.052870482597722965,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,LSTM,0.010293979007740262,127.0700629835027,0.01476980062102904,-0.024006122664583796,0.453416149068323,-0.022723428002781584,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,NaiveZero,0.010064633169702958,100.0,0.01466278595901663,-0.00922099760918127,0.5739130434782609,0.0,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ResidualHybrid,0.010091435851490584,112.12407001410855,0.014625044996108416,-0.004032358397317415,0.484472049689441,-0.005377026523747337,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ConfidenceWeight,0.010115758961436823,114.23366691524149,0.01467292963179788,-0.010617832921049342,0.48695652173913045,0.0104544552180147,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,RegimeSwitching,0.01023170853741807,124.77360129074462,0.014768208696182587,-0.023785394845548646,0.4795031055900621,0.008827232301725194,0,0,log_return,-0.04938237807382875,0.4914077704026227,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ARIMA,0.011007984144298513,105.60987817795319,0.014498244420720226,-0.004918726286474051,0.4968944099378882,-0.03656476115250302,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,RandomForest,0.01154243444242965,185.72871535882746,0.01503889843277118,-0.08126503051578227,0.493167701863354,-0.0031247980722314654,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,LSTM,0.011034878442888623,143.6353049964649,0.014565347037170466,-0.014242438058782225,0.5279503105590062,0.02454924086200721,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,NaiveZero,0.01097737453009823,100.0,0.01446682133599648,-0.0005673820667586593,0.5279503105590062,0.0,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ResidualHybrid,0.010992121952970864,120.2834582123355,0.014497037960921189,-0.004751486231032054,0.5329192546583851,-0.017806426258572584,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ConfidenceWeight,0.011024990956160526,116.45924220786227,0.014530386534694973,-0.009379406563670756,0.4993788819875776,-0.025800379277426795,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,RegimeSwitching,0.011064455564528213,133.68641865051822,0.014493114569709298,-0.004207720016477401,0.5043478260869565,0.011990078398064357,0,0,log_return,-0.06702872161306878,0.4362655878718959,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ARIMA,0.031994080045889335,113.0615850249876,0.05196132238350854,-0.002702702819415981,0.49324324324324326,-0.044499588999293675,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,RandomForest,0.0345779639693069,263.83809095179623,0.05466244977385378,-0.10966011958700728,0.46114864864864863,-0.11696110727962877,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,LSTM,0.03304637054019153,173.6537975389996,0.05330832577674979,-0.05536304255738811,0.4797297297297297,-0.0860440331789661,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
