Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ExperimentId,ExperimentMethod,ARIMA_d_meta,ARIMA_d_test,target_mode,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode,residual_weight_RandomForest,residual_weight_LSTM
JPM,RandomForest,0.010424175551834594,176.64491586132831,0.01488006338396393,-0.03935246437619666,0.4993788819875776,0.052870482597722965,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,LSTM,0.010293979007740262,127.0700629835027,0.01476980062102904,-0.024006122664583796,0.453416149068323,-0.022723428002781584,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,NaiveZero,0.010064633169702958,100.0,0.01466278595901663,-0.00922099760918127,0.5739130434782609,0.0,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,NaiveLag1,0.014420923280650215,382.0214366803544,0.02090639553698822,-1.051689393412909,0.5192546583850932,-0.0018471595599978928,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E1_EqualAverage,0.010055804534761265,121.8096991875645,0.014564650828866375,0.00424282932445752,0.49813664596273294,0.0352645784225613,E1,equal_average,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E2_LinearStacker,0.010055804534761265,121.8096991875645,0.014564650828866375,0.00424282932445752,0.49813664596273294,0.0352645784225613,E2,linear_stacker,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E3_RollingRMSE,0.010055423468421257,121.5824268817471,0.014566264901525985,0.004022115007171756,0.4993788819875776,0.033874107722258275,E3,rolling_rmse,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E4_SignalVoting,0.010195749636348544,140.49932382279314,0.014697724500117061,-0.014036278835807048,0.48695652173913045,0.012268167661607194,E4,signal_voting,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E5_RegimeSwitch,0.01023170853741807,124.77360129074462,0.014768208696182587,-0.023785394845548646,0.4795031055900621,0.008827232301725194,E5,regime_switching,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
JPM,E6_ResidualHybrid,0.010091435851490584,112.12407001410855,0.014625044996108416,-0.004032358397317415,0.484472049689441,-0.005377026523747337,E6,residual_hybrid,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
