Date,PortfolioValue,StrategyReturn
2024-04-11,87676.18713538264,0.8767618713538264
2024-04-12,86007.68570105647,0.8600768570105647
2024-04-15,81509.78225867366,0.8150978225867366
2024-04-16,79455.88455359553,0.7945588455359553
2024-04-17,78675.68283240413,0.7867568283240413
2024-04-18,76081.28082434749,0.7608128082434749
2024-04-19,74727.68570105647,0.7472768570105647
2024-04-22,72377.68570105647,0.7237768570105647
2024-04-23,73613.78082434749,0.7361378082434749
2024-04-24,81815.28656165217,0.8181528656165218
2024-04-25,85598.78082434749,0.8559878082434749
2024-04-26,84710.48111121272,0.8471048111121272
2024-04-29,96817.68570105647,0.9681768570105647
2024-04-30,91755.78369299983,0.9175578369299983
2024-05-01,90209.48684851741,0.9020948684851741
2024-05-02,90218.88168494319,0.9021888168494319
2024-05-03,90773.48541419124,0.9077348541419124
2024-05-06,92451.38168494322,0.9245138168494322
2024-05-07,89184.88311926936,0.8918488311926936
2024-05-08,87732.58484046077,0.8773258484046077
2024-05-09,86440.08484046077,0.8644008484046076
2024-05-10,84795.08484046077,0.8479508484046077
2024-05-13,86402.48397986506,0.8640248397986506
2024-05-14,89062.68570105647,0.8906268570105647
2024-05-15,87389.48684851741,0.8738948684851741
2024-05-16,87788.9825455389,0.877889825455389
2024-05-17,89020.38742224788,0.8902038742224788
2024-05-20,87840.68283240413,0.8784068283240413
2024-05-21,93316.18713538261,0.9331618713538261
2024-05-22,90265.88455359553,0.9026588455359553
2024-05-23,87271.98684851741,0.8727198684851741
2024-05-24,89856.98684851741,0.8985698684851741
2024-05-28,88686.6842667303,0.886866842667303
2024-05-29,88423.48541419124,0.8842348541419124
2024-05-30,89645.48111121272,0.8964548111121272
2024-05-31,89311.785127326,0.89311785127326
2024-06-03,88470.48111121272,0.8847048111121272
2024-06-04,87756.08627478694,0.8775608627478694
2024-06-05,87864.1842667303,0.8786418426673029
2024-06-06,89245.98541419124,0.8924598541419123
2024-06-07,89029.78225867366,0.8902978225867366
