Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
XOM,LSTM,0.011082975287467116,155.64942583511728,0.014626889310252768,-0.022831406451737868,0.5279503105590062,0.020129367652345243,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,NaiveZero,0.01097737453009823,100.0,0.01446682133599648,-0.0005673820667586593,0.5279503105590062,0.0,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ResidualHybrid,0.010996251871366707,120.57436765552848,0.01450182184445022,-0.005414712355843232,0.5316770186335403,-0.02201326387528008,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ConfidenceWeight,0.011041617593751569,118.66415130431022,0.01455008018193995,-0.012117369922587162,0.4993788819875776,-0.03340835624464695,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,RegimeSwitching,0.011100904703414195,141.2999816453568,0.01453261891062543,-0.009689582398360264,0.5043478260869565,0.005624659533536016,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ARIMA,0.031994080045889335,113.0615850249876,0.05196132238350854,-0.002702702819415981,0.49324324324324326,-0.044499588999293675,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,RandomForest,0.034577963969306895,263.8380909517963,0.05466244977385378,-0.10966011958700728,0.46114864864864863,-0.11696110727962877,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,LSTM,0.03305009407727918,173.7441046817621,0.05330709998841921,-0.055314508419055164,0.4780405405405405,-0.08658997121259898,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,NaiveZero,0.031894118300774314,100.0,0.051892888184628866,-6.327924160487441e-05,0.5118243243243243,0.0,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ResidualHybrid,0.032619295891056124,150.30084206533655,0.05274062550035876,-0.033004819775037664,0.46283783783783783,-0.11935157437678388,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ConfidenceWeight,0.032924903828933406,159.9899826985006,0.05310395810223582,-0.04728668081308096,0.4543918918918919,-0.11438353248687007,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,RegimeSwitching,0.03450919451072459,261.56009994268373,0.05463816586313772,-0.10867440080658652,0.46114864864864863,-0.1150445692266084,0,0,log_return,0.10302799973492259,0.5133153514329422,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ARIMA,0.006955627208453614,169.88883382597396,0.00992994622727405,-0.008722348641754918,0.5142857142857142,-0.003036464487972725,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,RandomForest,0.007596531100335003,527.4984947911419,0.010304384423602386,-0.08623040325863629,0.48819875776397514,0.007435864464187086,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,LSTM,0.006902025439440938,122.39750382044102,0.009830744241967615,0.01133161986616582,0.5242236024844721,0.05182041796933677,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,NaiveZero,0.0068985349337796825,100.0,0.00991957310580182,-0.00661596580362378,0.55527950310559,0.0,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ResidualHybrid,0.006957883687856204,200.5262806053995,0.009874579819217957,0.002494959551599285,0.4968944099378882,-0.01291955830483389,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ConfidenceWeight,0.006900492580316561,145.93791521021106,0.009788663793687839,0.019777484309763338,0.5229813664596273,0.029902688214216124,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,RegimeSwitching,0.006811482239569873,145.06102677453515,0.009499176050090189,0.07689793453472948,0.5242236024844721,0.07532856501058967,0,0,log_return,0.14781658940129916,-0.026721112663047775,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
